"Gene","AGM.4.lfc","Cyno.4.lfc","AGM.7.lfc","Cyno.7.lfc","AGM.10.lfc","AGM.≥14/Term.lfc","Cyno.≥14/Term.lfc","AGM.4.padj","Cyno.4.padj","AGM.7.padj","Cyno.7.padj","AGM.10.padj","AGM.≥14/Term.padj","Cyno.≥14/Term.padj"
"AANAT",-0.0153982570725673,0.134633180418975,-1.10527560646307e-06,0.109581769884912,7.95772013379154e-07,1.04956966498575,0.181675869838803,0.00242875746237625,0.624572250250345,0.00242875746237625,0.624572250250345,0.00242875746237625,0.00242875746237625,0.624572250250345
"AAR2",0.0281404500572764,0.0869381920103072,3.86977152175858e-06,0.0671730439013333,4.00766237783757e-06,-0.093696713011015,0.261004754326411,0.614815738080291,0.618522021598608,0.614815738080291,0.618522021598608,0.614815738080291,0.614815738080291,0.618522021598608
"AARS",0.0201398386039167,0.41451495577488,-1.48647337333115e-06,0.434892698198812,-3.71449218771641e-08,-0.017678770402106,1.15291585159609,0.96853111138139,7.60458183153742e-07,0.96853111138139,7.60458183153742e-07,0.96853111138139,0.96853111138139,7.60458183153742e-07
"AARS2",0.0429271162044017,0.614406211737864,-2.79985165671646e-06,0.693230828644453,3.40877936366965e-06,0.197115209325247,0.6927581637051,0.423819335105426,0.000428848347275923,0.423819335105426,0.000428848347275923,0.423819335105426,0.423819335105426,0.000428848347275923
"AARSD1",0.00724911894455773,0.219998562912448,-5.16717788970312e-07,0.194592765051433,2.83621519463823e-06,-0.162990161288542,0.290144238258331,0.472360422017507,0.524067399102323,0.472360422017507,0.524067399102323,0.472360422017507,0.472360422017507,0.524067399102323
"AASDH",0.00012711967857704,-0.420890325454947,3.36840641375709e-07,-0.516505323597466,1.2566497602068e-06,-0.015981957174033,-0.402562006217107,0.999994331261179,0.0888044982606554,0.999994331261179,0.0888044982606554,0.999994331261179,0.999994331261179,0.0888044982606554
"AASDHPPT",0.00310644013026326,-0.884189036193369,2.1707490847819e-07,-0.814399900902637,-6.40208577895496e-06,-0.0311596893178754,-0.496262786502096,0.807996325475004,7.82951530155005e-05,0.807996325475004,7.82951530155005e-05,0.807996325475004,0.807996325475004,7.82951530155005e-05
"AASS",0.00435040935408188,-0.0497425652160643,-1.32989570352992e-06,0.0403988748404067,-2.41677214636193e-06,0.0024900126967914,-0.145863662881801,0.670291106498693,0.844484198034564,0.670291106498693,0.844484198034564,0.670291106498693,0.670291106498693,0.844484198034564
"AATF",-0.0417852969198187,-0.211407822099017,9.1461060448463e-06,-0.248948952120518,7.38564309145171e-06,0.115580235273192,-0.313945611114993,0.223747761520751,0.194711788285595,0.223747761520751,0.194711788285595,0.223747761520751,0.223747761520751,0.194711788285595
"ABAT",-0.018495038021975,0.130999839350556,5.78674800522043e-06,-0.0921225939068376,8.45829350758764e-06,0.112663362153453,0.173172465485367,0.429387444314315,0.539917161416861,0.429387444314315,0.539917161416861,0.429387444314315,0.429387444314315,0.539917161416861
"ABCA1",-0.0127183837184901,0.0170737460929489,-3.82288982248883e-06,0.0994704598579451,2.23937825280709e-07,0.0188713980041023,-0.294654655717767,0.466782952668001,0.404051725888068,0.466782952668001,0.404051725888068,0.466782952668001,0.466782952668001,0.404051725888068
"ABCA10",0.00187575228005881,-0.826950802645884,1.17470729259407e-06,-0.24320928053844,5.63006918422867e-06,0.0317374647884215,-0.0650130921424973,0.786515206268868,0.107015221518375,0.786515206268868,0.107015221518375,0.786515206268868,0.786515206268868,0.107015221518375
"ABCA12",0.00369912963032562,-0.0179741077077917,1.09856690787452e-06,-0.0148758957987845,-5.98220869441579e-07,-0.203746603615189,-0.352719635611416,0.38931794290894,0.552287868876062,0.38931794290894,0.552287868876062,0.38931794290894,0.38931794290894,0.552287868876062
"ABCA13",-0.00571876018169532,0.0561740877276891,-1.13394852972912e-06,-0.07145475319608,-1.4869925030592e-06,-0.128278000966674,-0.169216801314289,0.715262142962758,0.739881044002889,0.715262142962758,0.739881044002889,0.715262142962758,0.715262142962758,0.739881044002889
"ABCA3",0.0231505292849997,0.271151536314226,-1.54906650083156e-06,0.353495274227043,8.88746449932473e-06,0.185088948797466,0.492510113232262,0.44607039972207,0.248762304004149,0.44607039972207,0.248762304004149,0.44607039972207,0.44607039972207,0.248762304004149
"ABCA4",0.0297190935675634,0.012573493585332,6.25967057146823e-06,-0.00769624782455148,9.89054009231184e-06,0.0597986649739095,-0.269896473550686,0.171931385343346,0.691437395161247,0.171931385343346,0.691437395161247,0.171931385343346,0.171931385343346,0.691437395161247
"ABCA5",0.00431128276697097,-0.27108063984354,5.83429357284792e-07,-0.207308218365559,2.41142281709728e-06,0.0765413316903473,-0.318670059192789,0.971616220256547,0.484422270177356,0.971616220256547,0.484422270177356,0.971616220256547,0.971616220256547,0.484422270177356
