"Gene","AGM.9530537.4.lfc","Cyno.9530537.4.lfc","AGM.Malale.4.lfc","Cyno.Malale.4.lfc","AGM.9530537.7.lfc","Cyno.9530537.7.lfc","AGM.Malale.7.lfc","Cyno.Malale.7.lfc","AGM.9530537.10.lfc","AGM.Malale.10.lfc","Cyno.Malale.10.lfc","AGM.9530537.≥14/Term.lfc","Cyno.9530537.≥14/Term.lfc","AGM.Malale.≥14/Term.lfc","Cyno.Malale.≥14/Term.lfc","AGM.9530537.4.padj","Cyno.9530537.4.padj","AGM.Malale.4.padj","Cyno.Malale.4.padj","AGM.9530537.7.padj","Cyno.9530537.7.padj","AGM.Malale.7.padj","Cyno.Malale.7.padj","AGM.9530537.10.padj","AGM.Malale.10.padj","Cyno.Malale.10.padj","AGM.9530537.≥14/Term.padj","Cyno.9530537.≥14/Term.padj","AGM.Malale.≥14/Term.padj","Cyno.Malale.≥14/Term.padj"
"AARS2",0.174549636427362,-0.0343401636542561,0.255492469587809,0.39247298184801,0.414250673463753,-0.131874168908445,0.189120972405053,0.389722690581255,0.313711733031555,0.248593696973119,0.451740200288515,0.223436162015183,0.0402432424278521,0.356941069432829,0.564422599046709,0.269173411338895,0.919852122738411,0.0189298211318172,0.0143133017585139,0.000528659097071444,0.549919236067623,0.0877778520328997,0.0117503699734627,0.0136375898842048,0.0187994393113291,0.00314430398004228,0.0338246931960393,0.825179598534178,0.000974598739752801,1.44055966764251e-06
"AARSD1",-0.0496913388350225,-0.000659519977168587,-0.155125637881386,-0.0380113153360774,0.19031425658595,0.0406638717255663,-0.0496287489072411,0.00678818158261853,0.144177514853747,0.151672967305648,0.0207356435029257,0.801815996068577,0.108757836744218,0.129149711320148,0.10134659161399,0.889582878314455,0.997938322192089,0.280365337767023,0.887330511697101,0.434100822691967,0.92160101003368,0.746426632866636,0.97599402721322,0.58816374716245,0.240918559524189,0.92885039672731,5.14300935454444e-05,0.665601364684935,0.370979293053545,0.516287141952299
"AASDH",-0.118113778590895,-0.114759942350783,0.119891133877593,-0.296541528984579,-0.474361167122659,-0.150911385596321,-0.247672725594036,-0.431975206317784,-0.660747450032144,-0.39548640544199,-0.250580233153056,-0.80226085539699,-0.255907091297079,-0.606680653233559,-0.358832763879669,0.636297056580481,0.729531114042027,0.410455665667212,0.108798104045058,0.00478571728564578,0.561702274939222,0.0444770078319858,0.0124603863563605,8.80711050480465e-05,0.000727315171583065,0.166167981602379,9.90076329047459e-09,0.178889663802527,5.19680666779115e-07,0.00769370939622598
"AASDHPPT",0.0573740781528331,0.158473852168479,0.293976388005964,0.0930118400082183,-0.118568179657226,0.00653478349114955,0.104111111278719,-0.0264140542569022,-0.0895110057550701,-0.203407631362992,-0.0995898930017348,-0.488658632360384,-0.428794420511604,-0.334241402888815,-0.149413013772523,0.844500916861183,0.657010701085942,0.0221454254748383,0.70940821796581,0.548440911464843,0.990907367345179,0.473532745383354,0.915291271046305,0.673047159492681,0.119618416105576,0.658383098822173,0.00111099198191787,0.0627756009062589,0.0128439193135928,0.348272566273298
"AASS",-1.08579129177756,-0.348241905162472,-0.160899160942751,0.0683986306032861,-1.48315556865489,-1.1673957396417,-1.349293983664,-0.0576768701324387,-1.05279967817093,-1.39131432242453,-0.210341246411088,-1.11029129338914,-0.992935844048182,-0.403911756652575,-0.396017887689896,0.00601390092839439,0.34029762891509,0.529388447994118,0.844071957514563,0.000205196467265306,0.00431400129000691,0.000782056855739548,0.875365416514521,0.00675410336365576,0.000470955209104695,0.51332639713297,0.00096547830598861,0.00450686309774348,0.23298279072481,0.184082388232895
"AATF",0.155002175751853,-0.0546394443908802,0.0189251460511207,-0.154558973275664,0.0815061665717951,0.0662950619626681,0.314271843401352,-0.0700791813856958,0.0482423228404182,0.239957960380905,-0.0895539384668024,-0.00514738269460979,-0.11073894169283,0.213520955858562,-0.291632471186666,0.273785630828161,0.815716990803953,0.871799639499099,0.276292589823481,0.516625115946129,0.697573614012796,0.000157891044025853,0.641384879606889,0.721135820203958,0.00441487176486796,0.524849617946171,0.959729120866386,0.329904481387808,0.0186259392798467,0.00111564353363048
"ABAT",-0.262283112689674,-0.41481460480981,-0.468768421448905,-0.294942720004902,-0.618176954170153,-0.263699361284034,-0.494714560527207,-0.489851939698103,-0.790398346043846,-0.576737215930695,-0.352395461020203,-0.943168626391919,-0.604793695167506,-0.779683987810349,-0.463241556568998,0.118782327571747,0.0539314444052209,2.50906876188012e-06,0.0741289621524878,1.1321408270367e-05,0.251107756498271,5.31378014659466e-07,0.00136222314127984,3.63908025202396e-08,2.86929459215879e-09,0.0219553026979234,9.12514621195811e-15,0.000578675020341783,1.4659468647569e-13,7.42885641954743e-05
"ABCA1",0.983894505197084,0.0545602630358698,0.368046932509001,0.636705725090364,1.53855312689008,0.164469331210464,0.634783930267742,1.1073079068142,1.47801535693127,1.45751937134403,1.02105859591209,1.26578267952829,0.361077143998703,1.2892905119099,0.516318787572472,0.00294835838435499,0.918060277020705,0.0943333913916732,0.0242298569314213,2.08578453902983e-06,0.61155288726079,0.00467951469444397,9.40939115846017e-05,5.20341736618719e-06,1.25170341921464e-10,0.000307183381816014,1.64204058027885e-06,0.148549926660661,1.32334607741816e-08,0.0174063792254382
"ABCA10",-0.107711780107394,0.0820560393336731,-0.160319229961499,-0.733005556954185,0.0637465702048044,0.174493502133523,0.0494983108202039,-0.210420785882193,-0.174560866001982,0.159661058119926,-0.0219197716307496,0.030787205446524,-0.0860168917087204,0.0270914094711432,0.0405712260919245,0.700174796982041,0.863418725108471,0.478305188372977,0.019063099495171,0.774842574265933,0.651270219092416,0.840928727720046,0.48517078220617,0.412660814849026,0.469593969423453,0.946165067193905,0.869720763516381,0.823368918302375,0.915224208941267,0.884138379352949
"ABCA12",0.0397970626264343,1.65966169855768,0.161607448120622,1.41975570169757,0.167937498822822,1.47554669067115,0.371843901043887,1.24228323572054,0.214472840236657,0.170347003127879,1.44877606318073,1.03968674938576,1.98079534426223,0.253376555888895,1.05510254945682,0.915499738848323,4.42361949275954e-05,0.509436377058375,9.09228375600553e-06,0.548341187415594,0.000420188346684294,0.107540404951979,6.85805876430218e-05,0.456454492842822,0.480967374873012,3.92496225882896e-06,1.44767671457693e-05,5.59052000005613e-08,0.328558249915422,3.9212477382439e-05
"ABCA13",0.131479622948255,-0.238504110588069,-0.0559680186215148,-0.148322095615103,0.218763593526299,0.371057440873628,-0.0245974879384292,0.0215433015399455,0.452529556418657,0.08591857815353,0.123909466147944,2.18527308146498,1.59997482597351,0.95866143657996,1.03049691581282,0.697406016451073,0.526794906564533,0.84958061946546,0.631255353504654,0.497528691732364,0.305376793949431,0.937976702756041,0.956555381384408,0.188605638710334,0.786597040690695,0.715704985081699,3.49300778633189e-10,1.34925722120486e-06,0.00240443742653698,0.000258538521362077
"ABCA3",-0.338006298898998,-0.216896261227292,-0.218356646342731,0.270809770984212,0.27876913473665,0.0130345881478245,0.166309324886771,0.706784360729285,0.193219524358351,0.48162855245354,0.817769598150156,0.237939891623497,0.710818825396373,0.493382472639612,1.46501205343519,0.0527237993857454,0.469915989015201,0.0580043727499141,0.20744508061964,0.0801455804282604,0.97680082703016,0.143783967360105,0.000278643904270426,0.263440943804185,1.16059688471557e-06,2.44393348628746e-05,0.0779140869007318,0.000288813913462885,4.56475532287089e-06,1.51389298652656e-22
"ABCA4",-0.320946017100607,-0.392017097161346,-0.158603202985667,-0.148798925224901,-0.437916297469179,-0.501057352886334,-0.221853300518755,-0.288705346736645,-0.44032327464566,0.0704163978761407,-0.124059353895017,0.43907406280195,0.156689082362257,0.316343679810475,0.0776888162568992,0.208221875268162,0.270939205700953,0.43660562877875,0.593345034163467,0.0521431166913586,0.153640501837294,0.247570672226047,0.261791554386083,0.0540117520640755,0.741014109782409,0.640000697132072,0.0189380503190629,0.629317763311145,0.089501845466592,0.726880436427337
