Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
sample027,0.188316103557419,0,0.669928572139623,0.0174088739660185,0.381194101508365,0,0.02046628340734,0,0.153564181018966,0,0.446669184353454,0,0,0.0562632488938805,0.00327599353982465,0.0487746584391042,0,0.184388992522272,0.0495020823620576,0,0.0117002764282605,0.191395179490702,0,0.741507756394176,0.70953447570964,2.42284773162729
sample028,0.0700547304672077,0,0.166964484457491,0.064388254989293,0.883863433527295,0,0.152781729378539,0,0.0292342730605947,0,0.599404352164295,0,0.00315070242116064,0,0,0.0308213298702637,0,0.136703247343081,0.044548150814527,0,0,0.12381841361574,0,0.822230450459966,0.631632225495349,2.30573310210949
sample030,0.0340558279496946,0,0.250447549793745,0,0.72388824421493,0.0819219048443421,0.0166832123849635,0,0.0120485132192881,0,0.587196620890369,0,0.145681865692727,0,0,0,0,0.275357354327969,0.0130194335044975,0.0022238900938086,0,0.351648925283548,0,0.775355893824832,0.6890945517316,2.49417334219988
sample031,0.0366666407906546,0,0.19850662166098,0.116440850631856,0.55969361266591,0,0,0,0.106227254374028,0,0.589476103740933,0,0.241296220313433,0,0,0.0460351912105923,0,0.240875267843059,0.0117083810978324,0,0,0.321272577106843,0,0.765502363696082,0.69762588463026,2.46819872143612
sample032,0,0.01119159964227,0.10914895890994,0,0.546144034995498,0.182550207080689,0.0319633943917148,0,0.0776011053136295,0,0.611614048890254,0,0.284306525817498,0.0495311500864576,0,0.00237467039326778,0,0.314059747573523,0,0.0556113729103659,0,0.357956449962986,0,0.790605320376249,0.681905013374786,2.63405326596809
sample033,0.142731846134047,0,1.13399416723087,0,0.715543813636262,0,0.125854677441087,0,0.122130821713796,0,0.239003587529082,0,0,0.0327793556005264,0,0.0268830692210646,0,0.197909826171981,0.0409017352011768,0.0170848183542113,0.00345908624106508,0.378218953795624,0,0.854141431298833,0.607289277983563,3.1764957582708
sample034,0.0563406229951283,0,0.887209391674004,0.286932989404365,0.523109928735198,0,0.156465549537915,0,0.0672531871799941,0,0.364696779822816,0,0,0.0539948966627754,0,0.00931844299175525,0,0.146057725752481,0,0.05777776405189,0.0160533485269749,0.0988903588971881,0,0.831493919764893,0.630401227416705,2.72410098623249
sample035,0.00860936579937301,0.0460555334897481,0.184565130819227,0.0661968628448218,0.766939633203894,0.0548186305893727,0.25291941718294,0,0,0,0.599044080833306,0,0.0307867884788642,0,0,0.00253881181379769,0,0.0774433062603841,0,0.0712831951220381,0,0.526149952626203,0,0.765950095189057,0.68894734172433,2.68735070906397
sample036,0.0285705485176288,0,0.277247288110167,0,0.757781720683837,0,0.0690597219072173,0,0.0367288251657659,0,0.546567182713018,0,0.260552514922699,0,0,0.0172534232901326,0,0.261058713308269,0.0109052326821216,0,0,0.291794634015624,0,0.807454545770181,0.675658963514335,2.55751980531648
sample037,0.0412384514827998,0,0.153415508504482,0,0.633944460663994,0,0.0137800268307754,0,0.0767861432553833,0,0.604841751456479,0,0.228698921876255,0,0,0.005692295486215,0,0.292351228131946,0,0.0205498282615843,0,0.171472772985465,0,0.787912493792504,0.680408374049936,2.24277138893538
sample038,0.0474379756236744,0,0.127193795611571,0.109065780723539,0.676248793952425,0,0.106121210989426,0,0.136469868042979,0,0.700201431862778,0,0.0767441314301172,0,0,0.0717393594935354,0,0.182619126106329,0.0128406506206766,0,0,0.425985021371085,0,0.80626192952339,0.654798067132225,2.67266714582813
