"Gene","lfc","padj","Significant","Regulation","Species","Daterange"
"ACTR8",-0.240891628390773,0.302656399469448,FALSE,"None","Cyno","4"
"ACTRT3",0.206563495705569,0.203611451840019,FALSE,"None","Cyno","4"
"ACVR1",-0.506026823008866,0.0396985920548241,FALSE,"None","Cyno","4"
"ACVR1B",-0.0655493133472408,0.76651783910419,FALSE,"None","Cyno","4"
"ACVR1C",-0.236549537964467,0.334647764940931,FALSE,"None","Cyno","4"
"ACVR2A",-0.520371179450053,0.0342130119785493,FALSE,"None","Cyno","4"
"ACVR2B",-0.0370032884402446,0.171636748109907,FALSE,"None","Cyno","4"
"ACVRL1",0.0488037941566489,0.273980072918858,FALSE,"None","Cyno","4"
"ACY3",0.0472134825153148,0.054722493369602,FALSE,"None","Cyno","4"
"ACYP2",-0.231188700350785,0.489094477881978,FALSE,"None","Cyno","4"
"ADA2",0.0630876025462712,0.579374422435773,FALSE,"None","Cyno","4"
"ADAD1",0.0391699768005853,0.907930003050566,FALSE,"None","Cyno","4"
"ADAL",-0.258798410502282,0.109970669618784,FALSE,"None","Cyno","4"
"ADAM10",-0.471469866329812,0.0127163843161667,FALSE,"None","Cyno","4"
"ADAM11",0.153814625644359,0.130808045822214,FALSE,"None","Cyno","4"
"ADAM12",0.0323188336878573,0.989693960817946,FALSE,"None","Cyno","4"
"ADAM15",0.179365340070578,0.164394761960594,FALSE,"None","Cyno","4"
"ADAM17",-0.112720844543457,0.017442629361784,FALSE,"None","Cyno","4"
"ADAM19",0.105652923326668,0.552509595275522,FALSE,"None","Cyno","4"
"ADAM2",-0.0854032195629717,0.502368553920135,FALSE,"None","Cyno","4"
"ADAM20",-0.190050579882118,0.606309827047577,FALSE,"None","Cyno","4"
"ADAM22",0.151480444401706,0.763015730016243,FALSE,"None","Cyno","4"
"ADAM23",-0.14193800951868,0.656347428027044,FALSE,"None","Cyno","4"
"ADAM28",0.0283314927049386,0.501293299485811,FALSE,"None","Cyno","4"
"ADAM29",0.107218211956462,0.226988210438188,FALSE,"None","Cyno","4"
"ADAM32",-0.055369202852313,0.504340929930662,FALSE,"None","Cyno","4"
"ADAM33",0.0197899302324321,0.736800676323623,FALSE,"None","Cyno","4"
"ADAM5",0.000933060505309694,0.388478226035508,FALSE,"None","Cyno","4"
"ADAM7",0.00918145780546986,0.844831015653062,FALSE,"None","Cyno","4"
"ADAM8",0.868666252510205,0.0437608866373348,FALSE,"None","Cyno","4"
"ADAM9",-0.104369077232555,0.12043283330774,FALSE,"None","Cyno","4"
"ADAMDEC1",-0.055087133343264,0.466932749981232,FALSE,"None","Cyno","4"
"ADAMTS1",-0.000424438246388421,0.917377891576089,FALSE,"None","Cyno","4"
"ADAMTS10",0.201197060611836,0.692814503632506,FALSE,"None","Cyno","4"
"ADAMTS12",-0.0469728133781598,0.863489213263828,FALSE,"None","Cyno","4"
"ADAMTS13",0.111308051907467,0.61666461551395,FALSE,"None","Cyno","4"
"ADAMTS14",0.0116258327455343,0.932044068673822,FALSE,"None","Cyno","4"
"ADAMTS16",0.0355305824930974,0.891775089607935,FALSE,"None","Cyno","4"
"ADAMTS17",-0.0299959347555344,0.845367283887994,FALSE,"None","Cyno","4"
"ADAMTS18",0.193156725384584,0.484422270177356,FALSE,"None","Cyno","4"
"ADAMTS19",-0.0490798062137441,0.455910768337714,FALSE,"None","Cyno","4"
"ADAMTS2",0.242518564857342,0.466932749981232,FALSE,"None","Cyno","4"
"ADAMTS20",0.0217392937619597,0.49528200840657,FALSE,"None","Cyno","4"
"ADAMTS3",-0.0321235972032157,0.337348882414027,FALSE,"None","Cyno","4"
"ADAMTS4",0.00718409761569277,0.628455270059863,FALSE,"None","Cyno","4"
"ADAMTS5",0.0344685474840349,0.891000113044147,FALSE,"None","Cyno","4"
"ADAMTS6",-0.166764571048184,0.0716015047503433,FALSE,"None","Cyno","4"
"ADAMTS7",0.206545900909092,0.323134585754764,FALSE,"None","Cyno","4"
"ADAMTS8",0.0634742629643374,0.908758502008192,FALSE,"None","Cyno","4"
"ADAMTS9",-0.0309500975721391,0.718119157125438,FALSE,"None","Cyno","4"
"ADAMTSL1",0.143479792544356,0.768117319335375,FALSE,"None","Cyno","4"
"ADAMTSL2",0.137419651943723,0.263063669507357,FALSE,"None","Cyno","4"
"ADAMTSL3",-0.00714164478117572,0.28722392814462,FALSE,"None","Cyno","4"
"ADAMTSL4",0.267525733434601,0.0721811034927636,FALSE,"None","Cyno","4"
"ADAP1",0.213328546187965,0.337558008177291,FALSE,"None","Cyno","4"
"ADAR",0.154703848648762,0.659026552389759,FALSE,"None","Cyno","4"
"ADARB1",0.0328065198905349,0.501719785149536,FALSE,"None","Cyno","4"
"ADAT1",0.174817905080198,0.214573629449713,FALSE,"None","Cyno","4"
"ADAT2",-0.112165137344964,0.423470194330289,FALSE,"None","Cyno","4"
"ADCK1",-0.0520899094712785,0.616667202531567,FALSE,"None","Cyno","4"
"ADCK2",0.414921891863559,0.13798221333372,FALSE,"None","Cyno","4"
"ADCY10",0.0630434955437811,0.876427705335906,FALSE,"None","Cyno","4"
"ADCY2",0.0221524425771134,0.988520371990192,FALSE,"None","Cyno","4"
"ADCY3",0.33175217966189,0.116805395441409,FALSE,"None","Cyno","4"
"ADCY4",0.166033152191845,0.471111019869987,FALSE,"None","Cyno","4"
"ADCY5",0.133100216322253,0.601963933187664,FALSE,"None","Cyno","4"
"ADCY6",0.214958326825538,0.190467203771589,FALSE,"None","Cyno","4"
"ADCY7",0.168899345799136,0.596864156690094,FALSE,"None","Cyno","4"
"ADCY8",-0.0102983925900022,0.896375427756162,FALSE,"None","Cyno","4"
"ADCY9",0.0620905313897314,0.976231711574503,FALSE,"None","Cyno","4"
"ADCYAP1",0.0814383066721782,0.816954230951766,FALSE,"None","Cyno","4"
"ADCYAP1R1",0.122831162693714,0.789207340142486,FALSE,"None","Cyno","4"
"ADD1",0.188530834520729,0.306024040646966,FALSE,"None","Cyno","4"
"ADD2",0.269979467614119,0.283887168829023,FALSE,"None","Cyno","4"
"ADD3",-0.387914057284456,0.000257591159245522,FALSE,"None","Cyno","4"
"ADGB",0.0145659720216553,0.2622416056515,FALSE,"None","Cyno","4"
"ADGRA2",0.308863738680969,0.322773971455796,FALSE,"None","Cyno","4"
"ADGRA3",0.312142212006986,0.316639624410688,FALSE,"None","Cyno","4"
"ADGRB2",0.653117272753589,0.207649281278565,FALSE,"None","Cyno","4"
"ADGRB3",-0.122960759953333,0.515672909734314,FALSE,"None","Cyno","4"
"ADGRD1",0.173824870154791,0.413837999966494,FALSE,"None","Cyno","4"
"ADGRE1",0.0264697655352483,0.471825016586523,FALSE,"None","Cyno","4"
"ADGRE2",0.0867294083788353,0.964573080061219,FALSE,"None","Cyno","4"
"ADGRE5",0.290387984621626,0.494618603280271,FALSE,"None","Cyno","4"
"ADGRF3",-0.115918433681929,0.8719628313869,FALSE,"None","Cyno","4"
"ADGRF5",-0.0142883977331194,0.978063627325081,FALSE,"None","Cyno","4"
"ADGRG1",0.229665725682102,0.584097301360036,FALSE,"None","Cyno","4"
"ADGRG2",-0.0723180621417303,0.295161449302227,FALSE,"None","Cyno","4"
"ADGRG3",0.201815968037343,0.159136970441565,FALSE,"None","Cyno","4"
"ADGRG4",0.0523571504778294,0.476490050043144,FALSE,"None","Cyno","4"
"ADGRG5",0.151407517712724,0.629459802008431,FALSE,"None","Cyno","4"
