"Gene","lfc","padj","Significant","Regulation","Species","Strain","Daterange"
"ACTG1",-0.000373318091764916,0.999524491859666,FALSE,"None","Cyno","9530537","4"
"ACTG2",0.13110429257929,0.756284226035979,FALSE,"None","Cyno","9530537","4"
"ACTL6A",0.186087753224718,0.434139424449008,FALSE,"None","Cyno","9530537","4"
"ACTL6B",-0.134778495913451,0.73609500893864,FALSE,"None","Cyno","9530537","4"
"ACTL7A",-0.240363834712359,0.439448018546029,FALSE,"None","Cyno","9530537","4"
"ACTL7B",-0.148885131811834,0.336447072220506,FALSE,"None","Cyno","9530537","4"
"ACTMAP",0.13342447729348,0.747088481928383,FALSE,"None","Cyno","9530537","4"
"ACTN1",-0.616820735422616,0.00264602383924659,FALSE,"None","Cyno","9530537","4"
"ACTN2",0.0551748710874641,0.90732839671766,FALSE,"None","Cyno","9530537","4"
"ACTN3",-0.981420707387134,0.0105928171550857,FALSE,"None","Cyno","9530537","4"
"ACTN4",-0.153916726563878,0.555650131020681,FALSE,"None","Cyno","9530537","4"
"ACTR10",-0.054082161463022,0.89090941831101,FALSE,"None","Cyno","9530537","4"
"ACTR1A",-0.0673352920506564,0.843427902625927,FALSE,"None","Cyno","9530537","4"
"ACTR1B",0.0943434324308993,0.786727010835828,FALSE,"None","Cyno","9530537","4"
"ACTR2",0.00489014091090101,0.988715749119477,FALSE,"None","Cyno","9530537","4"
"ACTR3",0.171568023936393,0.612471477507504,FALSE,"None","Cyno","9530537","4"
"ACTR3B",-0.16627006544186,0.532646392936448,FALSE,"None","Cyno","9530537","4"
"ACTR5",-0.0235381078293707,0.953787392090696,FALSE,"None","Cyno","9530537","4"
"ACTR6",0.0352070063011395,0.944633294849792,FALSE,"None","Cyno","9530537","4"
"ACTR8",-0.0048417617987202,0.990774226895559,FALSE,"None","Cyno","9530537","4"
"ACTRT3",-0.286874275506497,0.404189162034746,FALSE,"None","Cyno","9530537","4"
"ACVR1",0.694701611133276,0.00536180616667872,FALSE,"None","Cyno","9530537","4"
"ACVR1B",0.522110817323847,0.0355704390170057,FALSE,"None","Cyno","9530537","4"
"ACVR1C",0.0282667178694244,0.961119934592686,FALSE,"None","Cyno","9530537","4"
"ACVR2A",-0.199247779487891,0.594197721700609,FALSE,"None","Cyno","9530537","4"
"ACVR2B",-0.222680801931268,0.526515954944851,FALSE,"None","Cyno","9530537","4"
"ACVRL1",2.23013051742026,0.0128899847559128,TRUE,"Up","Cyno","9530537","4"
"ACY3",0.134898928368919,0.679963788610288,FALSE,"None","Cyno","9530537","4"
"ACYP2",-0.0555916538012742,0.909055241400727,FALSE,"None","Cyno","9530537","4"
"ADA2",0.985308548915534,0.00633444059586793,FALSE,"None","Cyno","9530537","4"
"ADAD1",0.25044567853659,0.475128534193257,FALSE,"None","Cyno","9530537","4"
"ADAL",-0.0136321706931222,0.969963271930184,FALSE,"None","Cyno","9530537","4"
"ADAM10",0.136622891719582,0.677727537784623,FALSE,"None","Cyno","9530537","4"
"ADAM11",0.241423214372606,0.543626072345884,FALSE,"None","Cyno","9530537","4"
"ADAM12",-0.909710674847369,0.0131276432366265,FALSE,"None","Cyno","9530537","4"
"ADAM15",0.275378539284878,0.457588506059491,FALSE,"None","Cyno","9530537","4"
"ADAM17",-0.0436993452056019,0.918875032257471,FALSE,"None","Cyno","9530537","4"
"ADAM19",-0.7607080249077,0.000326018821269956,FALSE,"None","Cyno","9530537","4"
"ADAM2",0.205633841108093,0.60662832943767,FALSE,"None","Cyno","9530537","4"
"ADAM20",-0.0272764046503885,0.962190333516403,FALSE,"None","Cyno","9530537","4"
"ADAM22",-0.532493197033585,0.0935982208270281,FALSE,"None","Cyno","9530537","4"
"ADAM23",-0.130544265842135,0.756774139635036,FALSE,"None","Cyno","9530537","4"
"ADAM28",0.111354942897685,0.789886338820395,FALSE,"None","Cyno","9530537","4"
"ADAM29",-0.075884737604151,0.836108894014573,FALSE,"None","Cyno","9530537","4"
"ADAM32",0.153690614923739,0.724264537278558,FALSE,"None","Cyno","9530537","4"
"ADAM33",0.109616106707822,0.725072422675453,FALSE,"None","Cyno","9530537","4"
"ADAM5",-0.0350178540941572,0.932161851463041,FALSE,"None","Cyno","9530537","4"
"ADAM7",0.0468111232119694,0.915214015210951,FALSE,"None","Cyno","9530537","4"
"ADAM8",-0.881317128323283,0.00648480266547983,FALSE,"None","Cyno","9530537","4"
"ADAM9",-0.207372403699009,0.586211930163156,FALSE,"None","Cyno","9530537","4"
"ADAMDEC1",2.92924282474961,0.00796972556659423,TRUE,"Up","Cyno","9530537","4"
"ADAMTS1",-0.0422247065127329,0.809635327852793,FALSE,"None","Cyno","9530537","4"
"ADAMTS10",-0.765759210957276,0.00399725389150274,FALSE,"None","Cyno","9530537","4"
"ADAMTS12",0.0604554969151115,0.903262721153846,FALSE,"None","Cyno","9530537","4"
"ADAMTS13",-0.183515863286968,0.644892470012656,FALSE,"None","Cyno","9530537","4"
"ADAMTS14",0.0803409366972013,0.870558643829175,FALSE,"None","Cyno","9530537","4"
"ADAMTS16",0.038292566816327,0.93411101354619,FALSE,"None","Cyno","9530537","4"
"ADAMTS17",-0.0231162154369323,0.967290976243684,FALSE,"None","Cyno","9530537","4"
"ADAMTS18",-0.311823590182862,0.398942877954555,FALSE,"None","Cyno","9530537","4"
"ADAMTS19",-0.134705029417027,0.753783562672335,FALSE,"None","Cyno","9530537","4"
"ADAMTS2",-0.0589430638534474,0.907731336895283,FALSE,"None","Cyno","9530537","4"
"ADAMTS20",-0.0157811805600414,0.976165533602467,FALSE,"None","Cyno","9530537","4"
"ADAMTS3",0.114558389135304,0.808992542447757,FALSE,"None","Cyno","9530537","4"
"ADAMTS4",-0.0155881261952102,0.946484584507472,FALSE,"None","Cyno","9530537","4"
"ADAMTS5",-0.139383615044799,0.392500599633797,FALSE,"None","Cyno","9530537","4"
"ADAMTS6",-0.108436943730863,0.813539555996351,FALSE,"None","Cyno","9530537","4"
"ADAMTS7",-0.263914953397934,0.455429502147978,FALSE,"None","Cyno","9530537","4"
"ADAMTS8",-0.132799566534519,0.705821894354948,FALSE,"None","Cyno","9530537","4"
"ADAMTS9",0.00485576971765729,0.991569708737432,FALSE,"None","Cyno","9530537","4"
"ADAMTSL1",-0.061340864801949,0.904821558311705,FALSE,"None","Cyno","9530537","4"
"ADAMTSL2",-0.579261497920187,0.168085117425593,FALSE,"None","Cyno","9530537","4"
"ADAMTSL3",0.0530190922106902,0.91503489349813,FALSE,"None","Cyno","9530537","4"
"ADAMTSL4",1.24156382610432,0.000152191187649789,FALSE,"None","Cyno","9530537","4"
"ADAP1",-0.0509373412223407,0.914011625767808,FALSE,"None","Cyno","9530537","4"
"ADAR",1.56587563059776,1.8679860808835e-32,FALSE,"None","Cyno","9530537","4"
"ADARB1",-0.695894216308048,0.0334694069335796,FALSE,"None","Cyno","9530537","4"
"ADAT1",-0.164501817634164,0.579829204225126,FALSE,"None","Cyno","9530537","4"
"ADAT2",-0.0827865443973996,0.859996943172943,FALSE,"None","Cyno","9530537","4"
"ADCK1",0.118789939342054,0.766168179336089,FALSE,"None","Cyno","9530537","4"
"ADCK2",-0.653781777231788,0.000917295390826892,FALSE,"None","Cyno","9530537","4"
"ADCY10",0.856274291772826,4.04207957687074e-06,FALSE,"None","Cyno","9530537","4"
"ADCY2",0.162694980889751,0.68917676851929,FALSE,"None","Cyno","9530537","4"
"ADCY3",-0.395000608810491,0.154718474802703,FALSE,"None","Cyno","9530537","4"
"ADCY4",0.174608015713587,0.558589397868683,FALSE,"None","Cyno","9530537","4"
"ADCY5",-0.102056403707603,0.809536583135464,FALSE,"None","Cyno","9530537","4"
"ADCY6",-0.659332138527422,0.154802316249901,FALSE,"None","Cyno","9530537","4"
"ADCY7",0.221075375071806,0.54540291630689,FALSE,"None","Cyno","9530537","4"
"ADCY8",-0.0213410301239852,0.966820837660229,FALSE,"None","Cyno","9530537","4"
"ADCY9",-0.456421271537314,0.164299642790487,FALSE,"None","Cyno","9530537","4"
"ADCYAP1",0.00901002537491747,0.985714485443157,FALSE,"None","Cyno","9530537","4"
"ADCYAP1R1",-0.11625386058103,0.794576621507606,FALSE,"None","Cyno","9530537","4"
"ADD1",-0.273070553510344,0.00267647366275886,FALSE,"None","Cyno","9530537","4"
